# VolumeName  Mass_kg  MaterialName
MuonVetoTop_0_0_AluminiumFrame_physical 10.2275 Aluminium
MuonVetoTop_0_1_physical 24.381 Scintillator
MuonVetoTop_0_1_AluminiumFrame_physical 10.2261 Aluminium
MuonVetoTop_1_0_physical 12.2574 Scintillator
MuonVetoTop_1_0_AluminiumFrame_physical 5.77113 Aluminium
MuonVetoTop_1_1_physical 12.2575 Scintillator
MuonVetoTop_1_1_AluminiumFrame_physical 5.68845 Aluminium
MuonVetoTop_2_0_physical 12.2592 Scintillator
MuonVetoTop_2_0_AluminiumFrame_physical 5.70006 Aluminium
MuonVetoTop_2_1_physical 12.2584 Scintillator
MuonVetoTop_2_1_AluminiumFrame_physical 5.70757 Aluminium
MuonVetoTop_3_0_physical 15.3514 Scintillator
MuonVetoTop_3_0_AluminiumFrame_physical 6.82706 Aluminium
MuonVetoTop_3_1_physical 15.3544 Scintillator
MuonVetoTop_3_1_AluminiumFrame_physical 6.84971 Aluminium
MuonVetoTop_4_0_physical 15.3556 Scintillator
MuonVetoTop_4_0_AluminiumFrame_physical 6.89501 Aluminium
MuonVetoTop_4_1_physical 15.3564 Scintillator
MuonVetoTop_4_1_AluminiumFrame_physical 6.90914 Aluminium
MuonVetoTop_5_0_physical 30.96 Scintillator
MuonVetoTop_5_0_AluminiumFrame_physical 12.6754 Aluminium
MuonVetoTop_5_1_physical 30.96 Scintillator
MuonVetoTop_5_1_AluminiumFrame_physical 12.6763 Aluminium
MuonVetoSide_0_0_physical 30.96 Scintillator
MuonVetoSide_0_0_AluminiumFrame_physical 12.6807 Aluminium
MuonVetoSide_0_1_physical 30.96 Scintillator
MuonVetoSide_0_1_AluminiumFrame_physical 12.6746 Aluminium
MuonVetoSide_1_0_physical 30.96 Scintillator
MuonVetoSide_1_0_AluminiumFrame_physical 12.6781 Aluminium
MuonVetoSide_1_1_physical 30.96 Scintillator
MuonVetoSide_1_1_AluminiumFrame_physical 12.6754 Aluminium
MuonVetoSide_2_0_physical 30.96 Scintillator
MuonVetoSide_2_0_AluminiumFrame_physical 12.6754 Aluminium
MuonVetoSide_2_1_physical 30.96 Scintillator
MuonVetoSide_2_1_AluminiumFrame_physical 12.6746 Aluminium
MuonVetoSide_3_0_physical 30.96 Scintillator
MuonVetoSide_3_0_AluminiumFrame_physical 12.6772 Aluminium
MuonVetoSide_3_1_physical 30.96 Scintillator
MuonVetoSide_3_1_AluminiumFrame_physical 12.6754 Aluminium
MuonVetoSide_4_0_physical 30.96 Scintillator
MuonVetoSide_4_0_AluminiumFrame_physical 12.6763 Aluminium
MuonVetoSide_4_1_physical 30.96 Scintillator
MuonVetoSide_4_1_AluminiumFrame_physical 12.6763 Aluminium
MuonVetoSide_5_0_physical 30.96 Scintillator
MuonVetoSide_5_0_AluminiumFrame_physical 12.6746 Aluminium
MuonVetoSide_5_1_physical 30.96 Scintillator
MuonVetoSide_5_1_AluminiumFrame_physical 12.6763 Aluminium
MuonVetoSide_6_0_physical 30.96 Scintillator
MuonVetoSide_6_0_AluminiumFrame_physical 12.6746 Aluminium
MuonVetoSide_6_1_physical 30.96 Scintillator
MuonVetoSide_6_1_AluminiumFrame_physical 12.6754 Aluminium
MuonVetoSide_7_0_physical 30.96 Scintillator
MuonVetoSide_7_0_AluminiumFrame_physical 12.6763 Aluminium
MuonVetoSide_7_1_physical 30.96 Scintillator
MuonVetoSide_7_1_AluminiumFrame_physical 12.6772 Aluminium
MuonVetoSide_8_0_physical 30.96 Scintillator
MuonVetoSide_8_0_AluminiumFrame_physical 12.6754 Aluminium
MuonVetoSide_8_1_physical 30.96 Scintillator
MuonVetoSide_8_1_AluminiumFrame_physical 12.6772 Aluminium
MuonVetoSide_9_0_physical 30.96 Scintillator
MuonVetoSide_9_0_AluminiumFrame_physical 12.6746 Aluminium
MuonVetoSide_9_1_physical 30.96 Scintillator
MuonVetoSide_9_1_AluminiumFrame_physical 12.6754 Aluminium
MuonVetoSide_10_0_physical 30.96 Scintillator
MuonVetoSide_10_0_AluminiumFrame_physical 12.6781 Aluminium
MuonVetoSide_10_1_physical 30.96 Scintillator
MuonVetoSide_10_1_AluminiumFrame_physical 12.6763 Aluminium
av_1_impr_1_MiniCryoCubeBottomPlate_pv_0 1.00639 CopperCryoCubeBottomPlate
av_1_impr_1_electronicPlate_pv_1 0.192281 CopperCryoCubeElectronicPlate
av_1_impr_1_BoloKaptonBand_pv_2 0.000460006 BoloKaptonBand
av_1_impr_1_BoloKaptonBand_pv_3 0.000460006 BoloKaptonBand
av_1_impr_1_BoloKaptonBand_pv_4 0.000460006 BoloKaptonBand
av_1_impr_1_ElectronicBoard_pv_5 0.001359 PCB
av_1_impr_1_ElectronicBoard_pv_6 0.001359 PCB
av_1_impr_1_ElectronicBoard_pv_7 0.001359 PCB
av_1_impr_1_ElectronicCoverPlate_pv_8 0.119992 CopperCryoCubeElectronicCoverPlate
av_1_impr_1_ConnectorSupport_pv_9 0.0134852 CopperCryoCubeConnectorSupport
av_1_impr_1_ConnectorSupport_pv_10 0.0134852 CopperCryoCubeConnectorSupport
